record_id,timestamp,source,is_phishing,url_length,num_dots,num_params,prompt_tokens,completion_tokens,latency_ms,owasp_category,atlas_tactic,annotated_label,owasp_final,atlas_final,reviewer,rationale
urlhaus_2025-09-01 08:00:00.000000000,2025-09-01 08:00:00.000000000,urlhaus,1,52,1,0,0.0,0.0,0.0,LLM04,TA0031,phishing,LLM01,TA0031,Krti Tallam,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
gpt4_pilot_2025-09-01 15:20:00.000000000,2025-09-01 15:20:00.000000000,gpt4_pilot,0,31,2,0,2095.0,2380.0,52.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 2095 prompt tokens and 52 ms latency inside the normal band.
gpt4_pilot_2025-09-01 16:10:00.000000000,2025-09-01 16:10:00.000000000,gpt4_pilot,1,46,2,0,4809.0,102.0,440.0,LLM09,TA0027,phishing,LLM09,TA0042,Krti Tallam,Burst request with 4809 prompt tokens and 440 ms latency exceeded policy thresholds for inline GPT-4 usage.
gpt4_pilot_2025-09-02 01:50:00.000000000,2025-09-02 01:50:00.000000000,gpt4_pilot,0,38,3,0,1596.0,1753.0,136.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 1596 prompt tokens and 136 ms latency inside the normal band.
urlhaus_2025-09-02 09:00:00.000000000,2025-09-02 09:00:00.000000000,urlhaus,1,39,1,0,0.0,0.0,0.0,LLM05,TA0027,phishing,LLM01,TA0031,Krti Tallam,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
gpt4_pilot_2025-09-02 12:00:00.000000000,2025-09-02 12:00:00.000000000,gpt4_pilot,0,38,3,0,1547.0,1690.0,181.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 1547 prompt tokens and 181 ms latency inside the normal band.
benign_2025-09-03 00:32:11.532244196,2025-09-03 00:32:11.532244196,benign,0,42,3,1,551.0,96.0,154.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 551 prompt tokens and 154 ms latency inside the normal band.
benign_2025-09-04 06:00:18.533963886,2025-09-04 06:00:18.533963886,benign,0,34,3,0,551.0,335.0,144.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
urlhaus_2025-09-04 11:00:00.000000000,2025-09-04 11:00:00.000000000,urlhaus,1,38,1,0,0.0,0.0,0.0,LLM05,TA0027,phishing,LLM01,TA0031,Krti Tallam,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
urlhaus_2025-09-05 20:00:00.000000000,2025-09-05 20:00:00.000000000,urlhaus,1,49,1,0,0.0,0.0,0.0,LLM06,TA0042,phishing,LLM06,TA0042,Krti Tallam,Auto-filled per synthetic batch for demo
benign_2025-09-06 22:08:33.773000859,2025-09-06 22:08:33.773000859,benign,0,33,3,1,294.0,234.0,203.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
urlhaus_2025-09-07 11:00:00.000000000,2025-09-07 11:00:00.000000000,urlhaus,1,46,1,0,0.0,0.0,0.0,LLM09,TA0042,phishing,LLM09,TA0042,Krti Tallam,Auto-filled per synthetic batch for demo
phishtank_2025-09-07 20:00:00.000000000,2025-09-07 20:00:00.000000000,phishtank,1,53,2,0,0.0,0.0,0.0,LLM04,TA0031,phishing,LLM01,TA0031,Krti Tallam,Phishtank feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
openphish_2025-09-09 09:00:00.000000000,2025-09-09 09:00:00.000000000,openphish,1,40,1,0,0.0,0.0,0.0,LLM04,TA0027,phishing,LLM04,TA0027,Krti Tallam,Auto-filled per synthetic batch for demo
phishtank_2025-09-09 22:00:00.000000000,2025-09-09 22:00:00.000000000,phishtank,1,36,1,0,0.0,0.0,0.0,LLM09,TA0031,phishing,LLM09,TA0031,Krti Tallam,Auto-filled per synthetic batch for demo
openphish_2025-09-10 00:00:00.000000000,2025-09-10 00:00:00.000000000,openphish,1,46,1,0,0.0,0.0,0.0,LLM01,TA0027,phishing,LLM01,TA0031,Krti Tallam,Openphish feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
openphish_2025-09-10 03:00:00.000000000,2025-09-10 03:00:00.000000000,openphish,1,43,1,0,0.0,0.0,0.0,LLM09,TA0031,phishing,LLM01,TA0031,Krti Tallam,Openphish feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
phishtank_2025-09-11 00:00:00.000000000,2025-09-11 00:00:00.000000000,phishtank,1,40,1,0,0.0,0.0,0.0,LLM05,TA0027,phishing,LLM01,TA0031,Krti Tallam,Phishtank feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
openphish_2025-09-11 00:00:00.000000000,2025-09-11 00:00:00.000000000,openphish,1,32,1,0,0.0,0.0,0.0,LLM04,TA0027,phishing,LLM04,TA0027,Krti Tallam,Auto-filled per synthetic batch for demo
openphish_2025-09-12 09:00:00.000000000,2025-09-12 09:00:00.000000000,openphish,1,36,1,0,0.0,0.0,0.0,LLM09,TA0031,phishing,LLM01,TA0031,Krti Tallam,Openphish feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
benign_2025-09-13 04:57:09.605331040,2025-09-13 04:57:09.605331040,benign,0,42,2,1,583.0,267.0,129.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 583 prompt tokens and 129 ms latency inside the normal band.
benign_2025-09-14 15:37:17.842648323,2025-09-14 15:37:17.842648323,benign,0,32,2,0,58.0,376.0,127.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
jailbreakbench_2025-09-16 00:00:00.000000000,2025-09-16 00:00:00.000000000,jailbreakbench,1,43,1,1,,,,LLM06,TA0042,phishing,LLM06,TA0042,Krti Tallam,Auto-filled per synthetic batch for demo
openphish_2025-09-17 03:00:00.000000000,2025-09-17 03:00:00.000000000,openphish,1,44,1,0,0.0,0.0,0.0,LLM05,TA0031,phishing,LLM01,TA0031,Krti Tallam,Openphish feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
phishtank_2025-09-19 18:00:00.000000000,2025-09-19 18:00:00.000000000,phishtank,1,48,1,0,0.0,0.0,0.0,LLM04,TA0027,phishing,LLM01,TA0031,Krti Tallam,Phishtank feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
phishtank_2025-09-20 08:00:00.000000000,2025-09-20 08:00:00.000000000,phishtank,1,48,1,0,0.0,0.0,0.0,LLM06,TA0027,phishing,LLM06,TA0027,Krti Tallam,Auto-filled per synthetic batch for demo
urlhaus_2025-09-21 00:00:00.000000000,2025-09-21 00:00:00.000000000,urlhaus,1,44,1,1,,,,LLM01,TA0031,phishing,LLM01,TA0031,Krti Tallam,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
benign_2025-09-21 19:13:58.617368873,2025-09-21 19:13:58.617368873,benign,0,47,3,1,251.0,391.0,89.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
openphish_2025-09-22 18:00:00.000000000,2025-09-22 18:00:00.000000000,openphish,1,50,1,0,0.0,0.0,0.0,LLM01,TA0027,phishing,LLM01,TA0027,Krti Tallam,Auto-filled per synthetic batch for demo
benign_2025-09-23 16:18:09.325881341,2025-09-23 16:18:09.325881341,benign,0,32,3,0,214.0,88.0,201.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 214 prompt tokens and 201 ms latency inside the normal band.
benign_2025-09-24 16:34:15.092003439,2025-09-24 16:34:15.092003439,benign,0,32,2,0,142.0,301.0,112.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 142 prompt tokens and 112 ms latency inside the normal band.
benign_2025-09-25 20:18:21.681857265,2025-09-25 20:18:21.681857265,benign,0,30,3,1,215.0,195.0,98.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 215 prompt tokens and 98 ms latency inside the normal band.
benign_2025-09-28 15:54:37.744625967,2025-09-28 15:54:37.744625967,benign,0,32,2,0,64.0,195.0,68.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
benign_2025-09-29 00:34:39.803955288,2025-09-29 00:34:39.803955288,benign,0,40,2,1,359.0,140.0,168.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 359 prompt tokens and 168 ms latency inside the normal band.
benign_2025-09-29 14:26:43.098882201,2025-09-29 14:26:43.098882201,benign,0,45,3,1,487.0,227.0,50.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
benign_2025-10-01 01:06:51.336199484,2025-10-01 01:06:51.336199484,benign,0,49,4,1,138.0,274.0,100.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 138 prompt tokens and 100 ms latency inside the normal band.
benign_2025-10-02 10:02:59.161650903,2025-10-02 10:02:59.161650903,benign,0,35,2,0,548.0,356.0,151.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 548 prompt tokens and 151 ms latency inside the normal band.
benign_2025-10-03 05:07:03.692175408,2025-10-03 05:07:03.692175408,benign,0,38,3,1,373.0,291.0,50.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
benign_2025-10-10 17:23:46.526225279,2025-10-10 17:23:46.526225279,benign,0,32,2,1,457.0,371.0,94.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Traffic followed standard template with 457 prompt tokens and 94 ms latency inside the normal band.
benign_2025-10-12 00:35:53.939810834,2025-10-12 00:35:53.939810834,benign,0,35,3,0,315.0,364.0,67.0,BENIGN,,benign,BENIGN,,Advisor Proxy,Auto benign sample
